Species Name,Wing Length,Tail Length
Tyrannopsis sulphurea,106.2,75.8
Tyrannulus elatus,48.2,40.7
Tyrannus albogularis,105.8,88.8
Tyrannus caudifasciatus,105.2,84.2
Tyrannus couchii,117,90.5
Tyrannus crassirostris,126.3,96.8
Tyrannus cubensis,131.8,92
Tyrannus dominicensis,116.6,89
Tyrannus forficatus,121.2,214
Tyrannus melancholicus,108.8,91.9
Tyrannus niveigularis,103.4,85.5
Tyrannus savana,105.6,215
Tyrannus tyrannus,116.7,87.6
Tyrannus verticalis,126.1,89.9
Tyrannus vociferans,128.9,96.9
Uromyias agilis,57.4,66.7
Uromyias agraphia,55.6,71.2
Xenotriccus callizonus,59.2,63.2
Xenotriccus mexicanus,65,65.8
Xolmis cinereus,136.1,91.1
Xolmis coronatus,126.7,91.1
Xolmis dominicanus,112.2,93.3
Xolmis irupero,107.2,77.3
Xolmis pyrope,107,84.4
Xolmis rubetra,118.2,80.5
Xolmis salinarum,106.3,75
Xolmis velatus,117.7,76.2
Zimmerius acer,50.6,40.9
Zimmerius albigularis,49.6,44.5
Zimmerius bolivianus,57.5,50.5
Zimmerius chicomendesi,41,35
Zimmerius chrysops,52.8,45.7
Zimmerius cinereicapilla,55.6,48
Zimmerius gracilipes,46.7,41.8
Zimmerius improbus,60.4,52.8
Zimmerius parvus,48.9,40
Zimmerius petersi,60.4,52.8
Zimmerius vilissimus,58.1,50.9
Zimmerius villarejoi,44.8,41.3
Zimmerius viridiflavus,54.3,52.8
